DATAFLOW,AMOUNT_TYP_RN,AUDST,FREQ,LIMIT_RN,REPYEAREND,REPYEARSTART,ST_FACI_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2023,2022,TSF3,0,2022-11-18,INR,18010000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2023,2022,TSF4,0,2022-11-18,INR,108500000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2023,2022,TSF1,0,2022-10-21,INR,511340000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2023,2022,TSF4,0,2022-10-21,INR,202490000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2023,2022,TSF3,0,2022-10-21,INR,10220000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2023,2022,TTL_OUTSTANDING,0,2022-10-21,INR,724050000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2023,2022,TSF1,0,2022-09-23,INR,96570000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2023,2022,TSF4,0,2022-09-23,INR,310390000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2023,2022,TSF3,0,2022-09-23,INR,9100000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2023,2022,TTL_OUTSTANDING,0,2022-09-23,INR,416060000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2023,2022,TSF1,0,2022-08-26,INR,40340000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2023,2022,TTL_OUTSTANDING,0,2022-08-26,INR,441930000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2023,2022,TSF4,0,2022-08-26,INR,401590000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2023,2022,TSF3,0,2022-08-26,INR,0.0
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2023,2022,TSF1,0,2022-07-29,INR,1390000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2023,2022,TSF4,0,2022-07-29,INR,403140000000
RBI:RBI_SF_RN(1.0),OUTSTNDING,N_A,M,N_A,2023,2022,TTL_OUTSTANDING,0,2022-07-29,INR,421080000000
