DATAFLOW,AUDST,CAT_CNTR_TRD_RN,FREQ,REPYEAREND,REPYEARSTART,TERM_EXT_TRD_RN,UNIT_MULT,TIME_PERIOD,UNIT_MEASURE,OBS_VALUE
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_OTH,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,INR,98877988803
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_OPEC,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,USD,143698215317
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_DC_AF_TAZ,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,INR,325849953177
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_DC_AS_SAARC,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,USD,5832481580
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_ODC_AS_INDN,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,INR,1923675437740
RBI:DIR_FR_TRD_RN(1.0),N_A,CT_EU_OTH,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,USD,2566567652
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_OECD,AFY,2025,2024,TERM_TRD_IMP,0,2025-03-31,INR,17806333805017
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_OECD_NA_USA,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,INR,7329466877381.999
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_OPEC,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,USD,60801243489
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_DC_AS_SAARC,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,USD,26042950904
RBI:DIR_FR_TRD_RN(1.0),N_A,CCT_DC_AF,AFY,2025,2024,TERM_TRD_EXP,0,2025-03-31,INR,3126709300777
